Date,Ticker Symbol,Close,Open,Volume
11-9-2012,GS,116.6900,115.2300,3898800
12-9-2012,GS,118.2400,117.4000,4234100
13-9-2012,GS,120.6700,117.9900,5262200
14-9-2012,GS,121.3600,121.2600,6188500
17-9-2012,GS,119.9000,120.3200,3598500
18-9-2012,GS,119.8800,119.4300,3036300
19-9-2012,GS,119.0200,120.3700,4818200
20-9-2012,GS,117.6300,117.6400,4448100
21-9-2012,GS,116.7200,118.3600,8195400
24-9-2012,GS,116.6000,116.3400,3697500
25-9-2012,GS,113.5000,117.1300,4548600
26-9-2012,GS,113.0800,113.2200,5185800
27-9-2012,GS,115.2300,113.7400,3898800
28-9-2012,GS,113.6800,115.0100,3655000
1-10-2012,GS,116.8600,116.6700,5339000
2-10-2012,GS,117.2500,117.5500,3682500
3-10-2012,GS,117.9100,117.6200,3036700
4-10-2012,GS,119.9000,118.6600,3743400
5-10-2012,GS,119.3100,120.8300,3938200
8-10-2012,GS,119.4600,118.2800,2140600
9-10-2012,GS,119.6300,119.3900,3267100
10-10-2012,GS,120.0800,119.5000,2829500
11-10-2012,GS,121.9900,120.9500,4708200
12-10-2012,GS,120.2000,121.6200,4054900
15-10-2012,GS,124.5000,121.7000,6419000
16-10-2012,GS,123.2200,124.2300,10117300
17-10-2012,GS,124.9200,123.3200,6712700
18-10-2012,GS,125.1500,123.8000,5375100
19-10-2012,GS,123.6200,124.4600,5877300
22-10-2012,GS,122.7700,122.0200,3643000
23-10-2012,GS,119.0000,120.4700,5820300
24-10-2012,GS,119.7700,119.8300,3662700
25-10-2012,GS,119.7200,120.8300,4128700
26-10-2012,GS,119.4400,119.2400,3961100
31-10-2012,GS,122.3900,119.7300,3680000
1-11-2012,GS,124.8500,122.8200,3336700
2-11-2012,GS,123.2500,125.3500,3189200
5-11-2012,GS,124.0800,123.1900,2569200
6-11-2012,GS,126.2500,124.3300,3991800
7-11-2012,GS,117.9800,122.8000,7075700
8-11-2012,GS,115.2700,119.2100,6253400
9-11-2012,GS,116.1500,114.7100,4823200
12-11-2012,GS,117.2400,116.7900,2455100
13-11-2012,GS,116.4700,115.8900,3157100
14-11-2012,GS,114.2400,116.6500,3886100
15-11-2012,GS,115.4400,114.5100,3703600
16-11-2012,GS,115.8400,115.5300,4516700
19-11-2012,GS,118.3000,117.2000,3868900
20-11-2012,GS,118.0900,117.9300,3304000
21-11-2012,GS,117.7000,118.1800,2075300
23-11-2012,GS,120.3100,118.6700,1977500
26-11-2012,GS,120.9400,119.1600,3373100
27-11-2012,GS,118.4100,120.5000,3875400
28-11-2012,GS,119.3300,117.2500,3811700
29-11-2012,GS,118.7300,120.0000,2982000
30-11-2012,GS,117.7900,117.9600,4264900
3-12-2012,GS,118.4000,118.4200,3614200
4-12-2012,GS,116.5800,118.1200,3592000
5-12-2012,GS,117.1300,117.0200,3283000
6-12-2012,GS,117.2000,117.2200,2330800
7-12-2012,GS,116.5700,117.7700,3960600
10-12-2012,GS,117.0100,116.6100,3332000
11-12-2012,GS,118.8600,117.5600,5696800
12-12-2012,GS,118.0900,119.2900,5372600
13-12-2012,GS,118.5000,117.8100,3330100
14-12-2012,GS,119.3600,118.4500,3717100
17-12-2012,GS,123.4900,120.1900,5478300
18-12-2012,GS,127.7700,124.8200,8040200
19-12-2012,GS,127.2481,128.6700,5526900
20-12-2012,GS,129.7200,127.3500,4412100
21-12-2012,GS,128.4400,126.6300,6395700
24-12-2012,GS,127.5400,127.8700,1359200
26-12-2012,GS,127.1600,128.1600,2210200
27-12-2012,GS,126.6700,127.5500,3263500
28-12-2012,GS,125.5200,125.7300,1859200
31-12-2012,GS,127.5600,125.4200,3624300
2-1-2013,GS,131.6600,131.3000,4449400
3-1-2013,GS,130.9400,131.7000,4584500
4-1-2013,GS,134.5100,130.9300,5235900
7-1-2013,GS,134.2600,134.1200,3557300
8-1-2013,GS,133.0500,133.7100,2761100
9-1-2013,GS,134.3200,133.4000,3666600
10-1-2013,GS,137.3700,135.0700,5962200
11-1-2013,GS,137.1300,137.0200,3216000
14-1-2013,GS,136.1300,137.1900,2862500
15-1-2013,GS,135.5900,135.5500,4325900
16-1-2013,GS,141.0900,138.9400,10654700
17-1-2013,GS,141.0100,140.8900,6596100
18-1-2013,GS,144.4500,141.3500,7351000
22-1-2013,GS,145.9500,144.0100,5158800
23-1-2013,GS,145.5600,145.7800,3950700
24-1-2013,GS,144.9600,145.0000,4638200
25-1-2013,GS,144.4600,144.1800,4640400
28-1-2013,GS,144.1500,144.4300,3045900
29-1-2013,GS,147.1000,144.1000,4521900
30-1-2013,GS,147.1500,146.8100,4084300
31-1-2013,GS,147.8600,146.2600,3683000
1-2-2013,GS,149.9000,148.5100,4564400
4-2-2013,GS,147.5200,148.2500,4680200
5-2-2013,GS,150.4500,148.3500,4219800
6-2-2013,GS,151.1200,149.7500,3942600
7-2-2013,GS,150.2600,150.7600,4891900
8-2-2013,GS,151.6000,150.7800,3612700
11-2-2013,GS,152.2400,151.4200,3752200
12-2-2013,GS,154.1100,152.4800,4310400
13-2-2013,GS,154.5200,154.1100,4369500
14-2-2013,GS,155.9300,153.8400,5037500
15-2-2013,GS,154.9900,156.4000,4254700
19-2-2013,GS,158.6500,155.6900,5105400
20-2-2013,GS,155.1800,158.2200,5032400
